Frequency_Hz,PC1,PC2,PC3
1024,288.319826078782,111.140645961581,-1.45280350937477
1024,406.722103876775,-235.290491638153,-75.5979544297781
1024,364.333531255742,-179.469676735281,-4.49528684085664
1024,399.035651039185,-299.448311601551,-7.01673680953765
1024,426.187617727399,-356.506909980844,-15.6761769510914
1024,432.484186891699,-363.531207979768,-13.7122215568535
1024,424.186976643637,-356.998402721619,-15.1343244701557
1024,402.026273022774,-303.688034094567,-13.4005033449652
10,-421.62569331644,53.8226780307005,-19.0513230952426
10,-422.720565819485,50.3077417838244,-18.7446862264204
10,-128.61617983602,-984.66506641078,-237.418951507821
10,-179.112826970407,-987.072516744968,-83.166502949201
10,-214.989626971607,-948.767635857488,25.0362057483822
10,-326.340286721528,-502.358622098278,136.784958877932
10,-519.316665723896,274.849202871581,212.452301579575
10,-471.236787749344,152.69600012538,89.03920253809
128,313.640749156498,140.945561713004,3.54267643734667
128,316.626604804562,133.992790221581,-3.88614569190096
128,316.129934529937,135.635534886715,-2.7538524899933
128,316.035418638339,135.308377509058,-2.04406552863295
128,311.140270550593,146.265552018769,-4.33729480148959
128,314.820646278132,135.191640891558,-3.87444324956762
128,316.409226597988,132.863042712982,-4.62400445588884
128,316.392586877071,132.044699401871,-5.80471793003805
12,-443.580499971116,53.4322363878813,-25.603633013709
12,-444.41436426251,53.373422812127,-24.1259428372166
12,-444.454254648919,52.8109725081117,-25.8421891394233
12,-444.630958142986,52.347182133054,-27.430851654026
12,-444.669702140466,50.9778082315471,-28.3850599824375
12,-446.781478060772,53.8828607198571,-23.4989462658756
12,-445.766065204219,51.2874726805237,-28.4244707445365
12,-446.114860610771,50.6974104147749,-28.231708988193
14,-457.244467021225,54.2272505525341,-28.2722019631791
14,-457.021788657433,53.2053820604678,-31.5054802922195
14,-456.95671505996,50.0860984411614,-32.1800152169539
14,-457.994636476007,50.7139013846499,-31.1018687834449
14,-457.089765934647,48.9137958772945,-34.6176126659518
14,-459.745556115684,53.5982017877365,-29.1653100774303
14,-459.840365821652,53.205070502628,-30.1221203262581
14,-457.81992451056,49.7048040745492,-36.5349678339868
16384,-248.71728795361,-349.601500812964,161.408222303801
16384,-230.019914717849,-414.278991058936,139.386775528058
16384,-320.615722072756,-54.6879421758687,213.32054865838
16384,-315.926728433948,-59.3055230230409,192.48271163966
16384,-302.435129380088,-89.3694164067292,154.888047484417
16384,-303.23365205008,-89.3617111392729,157.567798409194
16384,-301.13320374162,-98.1467877926919,153.691417251513
16384,-301.381884100543,-94.9910978663441,153.507027463086
16,325.814383704923,141.009764441628,0.272881622874007
16,326.577950810834,139.102883696363,-3.25648754051069
16,326.131239004696,139.013859452045,-1.60072328726791
16,327.042488634345,135.19032220085,-4.18852014551564
16,327.626546647918,135.666884494459,-1.77766691401896
16,332.746084161493,126.9275981111,-6.7984988837907
16,326.168706133971,137.653451058644,0.139573516599159
16,326.658469517241,137.892045370883,-3.93058571825882
18,-482.668235783399,45.9760913861684,-44.7805933955456
18,-483.313162085946,46.645704343769,-44.2217473835934
18,-483.087061405977,46.1613135641175,-44.8728621268344
18,-483.679166925001,45.8850907683684,-43.5377946265578
18,-483.292135993731,44.6677492333334,-45.3991753090802
18,-483.912942482744,45.9761194204608,-44.8173404056765
18,-484.310967791201,45.9029138309927,-45.4510332498351
18,-483.331292295383,43.8617898971895,-49.1303589459795
1,348.082529034572,154.535480452488,-4.55703672652909
1,347.687744404559,153.751533187899,1.47713980806146
1,348.395356826367,152.275822120782,-3.7020546710539
1,347.251385022857,156.424569027003,-3.43343785768463
1,346.639437834083,156.714102670267,-2.98422296041368
1,345.840207157939,159.268768058884,-1.59794627959307
1,345.210560670016,158.791229559786,0.0349770486678382
1,346.239617556718,155.662706142862,-3.35957099270018
2048,332.516842151934,-91.3758500721946,76.321431459908
2048,258.883619280574,168.138852691528,46.5946059142047
2048,285.702554785283,96.8686285733701,-10.5693831219754
2048,300.211673877563,55.8426677700985,-25.2851541785846
2048,340.269075510718,-61.6654989097753,-15.3550964242143
2048,430.356643233348,-353.406047611337,-74.7691627004984
2048,376.627352355851,-238.292772098643,-8.46914191000368
2048,401.882217303992,-304.543516090611,-27.6688578887366
20,-488.598297629995,39.4699731516641,-51.6324350265907
20,-489.932051743342,40.9309432457707,-47.9356527710596
20,-490.914559504009,41.7368545817857,-45.6846741336493
20,-489.988629868209,39.5537579740117,-48.7424852840567
20,-491.163023372356,40.6016629731855,-46.147715024877
20,-490.856508517642,40.1469557335736,-48.9853970007347
20,-491.463261500139,40.5641929600949,-47.1176923482982
20,-490.251062204655,37.9879629246286,-51.2266321681211
22000,-317.042745240675,59.243346110248,21.6463442347899
22000,-320.021748180678,60.5565531572564,22.4063325214612
22000,-321.869643393038,58.9264123026175,20.8075620859681
22000,-324.075986019723,58.1211076315078,19.0294915430635
22000,-326.220971017633,57.7898980077072,17.7079258399257
22000,-328.596183218709,57.0796015326656,16.6766232300483
22000,-331.270518350071,57.3717816147331,18.7083968601408
22000,-334.188885369942,59.0443592281357,21.0919202490669
22,-498.846130299811,40.8406482471836,-50.2049509103251
22,-499.942985271525,42.8013443757549,-47.5721587941513
22,-498.944982020321,39.7412928169099,-49.9370475504532
22,-500.034849821774,40.4690466651356,-47.8017792053099
22,-499.534853145996,40.5967699855421,-49.4791243131745
22,-500.488870593232,41.0779790928749,-47.2773940358622
22,-498.625947743232,37.679752963704,-53.1845596374247
22,-499.64787372851,38.9988878681047,-50.1484927760305
24,-504.229706045037,39.8322281740049,-53.0402270284993
24,-506.116562171212,43.5316872105307,-47.9528539452315
24,-505.469857937049,42.2741721947613,-50.4467725129361
24,-506.295284481068,43.0584560648282,-47.9381579300379
24,-506.33679070629,42.7928460745419,-47.4608404417273
24,-507.278137645387,43.6590460348945,-46.1266208044841
24,-504.730998750961,40.2012989073528,-53.6626261480087
24,-505.570259675955,40.8443339199654,-50.8687246218273
256,312.514447763422,125.305927678097,10.1094429718573
256,314.197165173249,119.678912201168,3.39702106781632
256,314.209271052941,119.857353681022,3.18525878417518
256,317.495871984804,106.812210639126,7.0847060549419
256,323.85778636751,87.2422568901742,6.02803370541231
256,384.509495062398,-89.5318128821917,5.30191828845394
256,321.639445908611,96.3280421377487,0.71616806077397
256,312.785133298426,121.304982065767,6.90728052409103
2,335.360585850395,152.908431612685,7.17689502356369
2,335.529345315104,151.811977120832,6.53974262577755
2,336.114037900163,150.382292410977,3.17208278846504
2,335.195519369163,152.132286361372,5.86752080494815
2,335.223085630781,151.929443201225,4.81492845970056
2,333.274069071864,156.447279361807,9.13546488520049
2,333.916631504536,154.53899686263,8.04667532744625
2,335.823920530235,148.430752489885,2.67183350621862
32,317.222372368552,152.272810341073,10.4054313449294
32,318.418843332191,149.11360979664,6.76438753688676
32,318.995871204986,147.192285068471,2.36981716993586
32,366.030541466478,29.9480102285162,-27.3082786447824
32,432.028819120923,-207.888979027766,-48.9236639161133
32,318.387019292245,151.675277350992,-1.30424357729026
32,319.773770803754,143.369290330828,7.96891770545646
32,318.922823018994,143.784505622583,6.9083853340776
4096,375.799967696003,-247.388847269165,-0.863115685162266
4096,375.075734285141,-247.099895111532,-1.39462311654944
4096,380.007938388316,-264.13556924628,-2.65313409545213
4096,377.001007441164,-258.312782144763,-0.303486941580832
4096,374.169201047714,-254.263108456857,1.73533828953454
4096,375.019129178342,-257.413397104275,5.5783054751296
4096,376.808984632051,-263.223462300256,1.08063014305767
4096,375.644376640322,-260.896295991548,1.38672221145182
4,333.821243296588,143.096761749071,-0.402328842837016
4,333.080924798751,143.959865240583,2.77094861158872
4,334.592949150149,140.437507199422,-3.33537594121783
4,334.605352546971,140.802498831502,-3.77488976478257
4,335.296088116888,138.803301732192,-6.58968213899453
4,335.17594909538,135.786556168226,-5.76834953136221
4,346.695463843465,104.320494343449,-20.9508251343891
4,458.008143974992,-231.684579855025,-15.9145172530612
512,314.516328237016,106.507046093013,-5.0599851136285
512,307.590823575518,131.964683487858,-3.35975899833346
512,424.167216559147,-269.581657132044,-27.8089504032722
512,429.311831823711,-240.784334909292,-25.7601599057296
512,299.344461485274,155.766027671295,12.0114076723936
512,302.925004650435,134.125354166527,10.4197003907425
512,302.789016864909,134.222737795966,12.0337295092348
512,325.2345768159,72.422857347846,3.15054258014484
64,320.891638567085,135.263076523968,-6.24058834591728
64,319.923622320102,136.869046029212,-2.75031492698893
64,320.945974000298,133.838277236919,-6.15246515198094
64,320.828419113366,134.265028175492,-5.46950812528684
64,321.013750152199,134.402162100368,-6.92532963302351
64,321.368294835125,132.955866487881,-8.29078748112625
64,320.247611979741,135.393559043792,-4.31656321960729
64,320.186323787508,135.635138498098,-5.36315858894728
6,-405.033781939517,52.3694116691723,-11.5477055142945
6,-405.192347830415,51.6133720173506,-11.7434483617802
6,-406.298348067072,52.0937768854365,-9.79438835635003
6,-404.250581382931,48.3455736315133,-17.2374839597124
6,-405.118710490355,45.9172241492404,-15.3676824366239
6,-405.353294767661,46.6148599295089,-15.5193035720398
6,-405.827639708713,48.56969278071,-15.7204780067816
6,-406.452826569908,47.2001120645603,-15.6315032969642
8192,-239.219909109214,-353.315177422667,111.513730885304
8192,-255.014536134615,-206.544946302716,135.262334547718
8192,-302.68677260582,-87.5683757383304,150.145025106816
8192,-302.009320979459,-86.255389851422,158.741388311793
8192,-296.893465759143,-97.3590362764217,145.216849744312
8192,-310.656403021429,-60.8168535660036,141.975438962122
8192,-192.322376232241,-391.481388709304,7.50795993189832
8192,-252.671791501478,-229.473193025062,73.6377924249945
8,335.031591253819,127.172245351231,-14.6494869712787
8,338.88810569522,110.037920068371,-24.0468125117275
8,477.55162983503,-287.080742721751,-31.8124254633075
8,445.910687169607,-263.071705035174,-54.9278563065429
8,427.349280026577,-213.78570870534,5.66999659415664
8,448.635562650282,-250.292786678757,-2.23171219184822
8,400.396632969053,-69.8897736321893,26.8057979021723
8,320.361793747889,161.863928145931,23.2995639887369
